address,lat,lng
1300 s hyde park boulevar,41.802599349999994,-87.59477218554956
4400 w 31st st,41.836854,-87.734239
8200 s eberhart,41.7474636,-87.6124712
1400 n milwaukee av,41.9072358,-87.6730861894888
1200 n ashland av,41.9036115,-87.6679519
6000 w irving park rd,41.953132,-87.776946
4000 w potomac,41.9047543,-87.7211675
200 e roosevelt,41.8761445,-87.6251612
2900 w cermak road,41.8522133,-87.69969745
1400 w 65th st,41.775982,-87.65943
3000 w wabansia,41.9121257,-87.6897142
1 w monroe,41.880864,-87.6296352
10400 s troy,41.704194599999994,-87.70038468962704
6100 w eddy,41.9464236,-87.6595022
2700 w 16th st,41.859329,-87.693931
2400 w cortland st,41.915838,-87.68806
100 n state,41.8832612,-87.6253411
3700 n drake,41.94847795,-87.71673936867589
5800 s ellis ave,41.789437,-87.601369
4600 s albany ave,41.809853,-87.701694
1400 w walton st,41.8998168,-87.6299957
5200 s woodlawn,41.78468745,-87.60074932651055
900 w wilson av,41.9660465,-87.6521914925818
8000 s oglesby,41.7316965,-87.5670747
1100 n lasalle,41.881644,-87.6320948089129
1200 s halsted st,41.86703,-87.647026
1400 n kostner,41.91257175,-87.7354419739219
900 w roosevelt rd,41.867434,-87.6303126
6600 n barry,42.583499,-85.502637
2700 w farragut,41.9767385,-87.6983405
2100 n stockton,41.9141563,-87.6326738424692
2100 s wentworth av,41.85383525,-87.6321649065756
3500 s francisco,15.1859169,120.582529
3800 n clark,41.6181136,-87.4143406405452
11900 s halsted,41.875474,-87.6496755
500 n franklin st,41.8909126,-87.635804658602
2600 s spaulding,41.84356,-87.70756
2300 w devon,41.99803005,-87.68768304123802
1200 s kedvale,41.86579635,-87.72903008986087
100 w washington street,41.8833785,-87.6326626
6500 s kostner,41.8040967,-87.7332732
2100 w jackson,41.8774934,-87.63175787585004
4000 w maypole,41.8836205,-87.6915136
5100 w st paul ave,41.912357,-87.753526
3300 n halsted st,41.94191595,-87.64960836886
1 w delaware pl,41.899055,-87.628428
600 w harrison,42.06017785,-87.86242280004706
2900 n gresham ave,41.934946,-87.715808
3700 w eddy,41.9464236,-87.6595022
2600 n lincoln,40.7832034,-73.974793
7100 w george st,41.932673,-87.804284
400 w ontario st,41.89336105,-87.6389915082361
200 e 46th st,41.81121,-87.621097
2800 n clark st,41.988054,-87.669707
2000 w 13th st,41.865018,-87.676364
13000 s daniel dr,41.6572406,-87.6165029
1500 s state st,41.8618389,-87.6276150616279
1 e bellevue,41.901485,-87.627725
5400 s hyde park blvd,41.7976181,-87.5843002559451
500 n cicero,41.88969,-87.74573
200 s clark,41.9203614,-87.6330496758443
1600 w beach,42.432683,-87.832934
1300 s wabash av,41.86558815,-87.6262393178906
3400 w 24th st,41.848157,-87.710187
700 n rush st,41.89514495,-87.625751349449
2900 n lakewood,43.382461,-86.219088
1 w grand av,41.8913983,-87.6283923757543
4700 s cottage grove,41.7073446,-87.6065455
3000 w 42nd st,41.8175448,-87.6996969
4400 n racine,41.79483745,-87.6551343595338
2400 w division,41.9030346,-87.6863623
700 w diversey pkwy,41.932595,-87.665939
1 s wells,41.90124575,-87.63554861903087
6900 n glenwood,41.5479021,-87.6217723
2400 n mango,41.924202699999995,-87.77004507600965
4500 n springfield,41.0445265,-81.4373585
1 w 19th st,41.85652,-87.628794
2100 e 69th st,41.769912,-87.573789
2000 s ashland ave,41.8549218,-87.6664152248431
1400 n dearborn parkway,41.907979,-87.63022
6300 s racine,41.8758843,-87.6593253
900 w huron,41.89527985,-87.65046396941982
2400 w greenleaf,42.0098426,-87.6896189
4400 s whipple,41.961333,-87.704701
1600 e 87th st,41.737014,-87.584405
3500 n southport av,41.9453627,-87.6641971995241
800 w jackson boulevard,41.878026,-87.64741
1700 w 51st st,41.8014851,-87.66738345
3800 w lawrence ave,41.9684644,-87.7233639732644
3000 s karlov,41.8385762,-87.72709162644068
500 w roscoe,41.94342155,-87.6551329463619
3300 n keystone,41.9907559,-87.7300811
200 e pearson st,41.89778935,-87.6215568668894
4500 s 59th st,41.78601425,-87.7353691761785
900 w 18th st,41.858125,-87.650117
1600 n vine,48.169342,16.3704247
1700 w 18th st,41.8580158,-87.66894195
1200 w barry,41.938087,-87.659712
800 w chicago av,41.6295919,-87.481138
4400 n western ave,41.9614576,-87.6890530433032
5200 w race,41.88901575,-87.7658145050457
600 w taylor st,41.869796,-87.64244
4400 w 50th st,41.802345,-87.733386
700 n sangamon,41.75035805,-87.6469276941121
3300 n leclaire,41.9391897,-87.7542642
6900 w irving park rd,41.9528252405114,-87.7991245733147
1000 s canal,50.8516517,4.3467037
2000 w cullerton,41.8553566,-87.6318486
9000 s bishop,41.73023085,-87.6596296766626
2500 w fullerton,41.925202850000005,-87.69048400292817
2900 w flournoy,41.8728233,-87.6911881
2900 n broadway st,43.0438191,-87.9079560083974
1000 w fulton market,41.8869066,-87.6523586
7200 n sheridan,41.9528225,-87.6534959
4300 s lake park,41.8100824,-87.59231307090172
2100 w huron,41.8950487,-87.6511511
6400 s halsted,41.7780305,-87.6448713
100 n central,-25.35977245,-57.568070958528
900 w erie st,41.89353475,-87.6502267
2700 w schubert,41.9309788,-87.6863156
600 n franklin,41.8964706,-87.6357194
1900 w harrison st,41.88142,-88.213633
1 e chestnut,41.898571000000004,-87.62560913204317
1200 w rosemont avenue,41.996451,-87.661304
1300 w 00 st,41.863325200000006,-87.60847475369728
2100 n mason,41.9180571,-87.77457032187365
2000 w mc lean,41.9181748,-87.719251
1 n michigan ave,41.883363,-87.624218
2100 s china place,41.853719,-87.635334
3700 w fullerton av,41.92489925,-87.7196680152568
3400 w madison,41.88184,-87.6281596077555
1 e bellevue place,41.5178386,-87.6434052
700 s loomis st,41.87320485,-87.6620648758785
1800 w chicago av,41.896071,-87.672341
5900 w addison,41.9459813,-87.7745288061968
2600 w pope john paul ii,41.8155721,-87.6931979
1000 n dearborn st,41.8948505,-87.629736
4500 s evans,42.0375541,-87.6800929
2600 s pulaski,41.9936975,-87.7288814
300 n wabash,41.89374335,-87.6270864444302
5400 s drexel ave,41.79671035,-87.6041405520694
2500 w gunnison,41.9697643954716,-87.6921086478289
2000 e 74th st,41.760781,-87.576019
6900 n ravenswood ave,42.006646,-87.675839
2600 w devon av,41.9978687,-87.6950012221911
1700 w beach,42.432683,-87.832934
7100 s rockwell,41.75802405,-87.69734720470694
3600 w hirsch,41.906439,-87.718238
2800 w fullerton ave,41.9251452,-87.6977549185384
2300 n geneva terrace,41.923826,-87.64396
3800 n lakewood,43.382461,-86.219088
3600 w argyle,41.972052,-87.720354
1500 w division,41.90362275,-87.6652169878411
8400 s escanaba,41.742677,-87.55426008133517
1 s dearborn st,41.88164055,-87.6286769869152
1500 w huron,41.8950487,-87.6511511
1200 w greenleaf av,42.010487,-87.661857
1300 n kostner,41.86408,-87.735017
1800 w 74th st,41.759466,-87.669303
2400 s archer ave,41.8439543,-87.6531671
1200 w hood,41.9936428,-87.677835
3500 w 48th st,41.8071017,-87.6425343
2400 n meade,41.9847335,-87.7804179
3000 n lincoln av,41.9362598,-87.664189969382
5800 s union,41.8782946,-87.6389495
1800 n clybourn ave,41.9139145,-87.6543441
3300 w 26th st,41.84463625,-87.7078298234279
11400 s wallace,41.686813,-87.6376568965563
2900 n lawndale av,41.934421,-87.722103
